block,moment_name,value,se,N,unit
D,D4_emprate_at25_college,.8022988505747126,.0190953689361419,435,rate
D,D4_emprate_at25_noncollege,.6339622641509434,.0071770708982017,4505,rate
D,D5_mean_earn_at25_college,23740.95316048451,843.5184423473642,341,USD2024
D,D5_mean_earn_at25_noncollege,17542.96088940007,235.4896418432457,3339,USD2024
D,D6_earngrowth_2535_earlymom_college,.7413605645165912,.2014819950908374,56,log_diff
D,D6_earngrowth_2535_earlymom_noncollege,.6577641596101013,.0411799614516177,951,log_diff
DESC,mean_age_first_birth_25_35,28.39993585631815,.0506677075548725,3118,years
DESC,mean_bio_children_all,1.140038215624311,.0108857225482085,27214,count
DESC,median_prebirth_earn,24947.86328125,,969,USD2024
DESC,total_women,27214,,,count
DESC,women_birth_25_35,3118,,,count
DESC,women_with_births,11117,,,count
DESC,women_with_quintile,969,,,count
E,E1_recovery_tercile1_t3,1.148636698722839,.1167032867670059,276,ratio
E,E1_recovery_tercile1_t5,1.328797817230225,.1443443298339844,255,ratio
E,E1_recovery_tercile2_t3,.8464990854263306,.0391786321997643,280,ratio
E,E1_recovery_tercile2_t5,.8383828997612,.0467803478240967,254,ratio
E,E1_recovery_tercile3_t3,.8236556053161621,.0448554567992687,281,ratio
E,E1_recovery_tercile3_t5,.8270599842071533,.0434863083064556,247,ratio
EXTRA_recovery,recovery_at_age45_tercile1,2.38872106089333,.3201716312776524,122,ratio
EXTRA_recovery,recovery_at_age45_tercile2,1.326909043131199,.0881325694924483,132,ratio
EXTRA_recovery,recovery_at_age45_tercile3,1.006789292172328,.0968837923201884,102,ratio
F3_PFL,F3_DiD_mothers,,,,USD2024
F3_PFL,F3_DiD_reg_emp_mothers,0,0,5112,pp
F3_PFL,F3_DiD_reg_mothers,0,0,5760,log_earn
F3_PFL,F3_earn_nopfl_pre_allwomen,16590.79708914689,70.17409996216109,,USD2024
F3_PFL,F3_earn_nopfl_pre_mothers,19303.99961302836,310.2811871969986,5723,USD2024
F3_PFL,F3_earn_pfl_post_allwomen,27507.12052909659,995.2617326979296,1073,USD2024
F3_PFL,F3_earn_pfl_post_mothers,35775.98770443424,4645.168066438328,91,USD2024
